text,date,user
Anyone know about this UK whistleblower? – can only find this one opinion piece: http://www.heraldscotland.com/comment/sunday-herald-view/why-this-whistleblowers-warnings-should-spell-the-death-knell-for-trident.126268713,2015-05-16 22:11:47,WISE Up Wales
"Ah, he’s commented here:",2015-05-16 22:13:45,WISE Up Wales
http://www.youblisher.com/p/1138795-William/,2015-05-16 22:15:55,WISE Up Wales
working covertly to eliminate the biggest threat to the UK for about a year. My real intentions along with more than enough information to,2015-05-16 22:16:06,WISE Up Wales
eliminate the Trident programme are contained in a report that was released on the 05-05-15. Almost all of my email accounts have been …,2015-05-16 22:16:19,WISE Up Wales
blocked and I’m in hide out in a foreign country; I might be arrested or killed before the public can read the report. I don’t know how many,2015-05-16 22:16:29,WISE Up Wales
laws I’ve broken along the way; I doubt men live long enough to serve the sentence they’ll give me. Anyone who reads it will understand:,2015-05-16 22:16:38,WISE Up Wales
"my information comes from prefect sources, I have no reason to lie and they will understand if change isn’t made a nuclear catastrophe",2015-05-16 22:16:47,WISE Up Wales
"almost certainly will happen! My ID and photos are in the report, it will break news soon, but no media outlet will publish the full report",2015-05-16 22:16:58,WISE Up Wales
because it contains TS information. I have sacrificed everything please help me end this world order of fear!,2015-05-16 22:17:02,WISE Up Wales
end quote. Link to comment: https://www.youtube.com/watch?v=dN2l5KX0EbY,2015-05-16 22:17:33,WISE Up Wales
Sounds like he needs help. Ideas? Will forward the new WL submission link. @wikileaks,2015-05-16 22:19:25,WISE Up Wales
"Oh, report seems to be already on this link: http://www.youblisher.com/p/1138795-William/",2015-05-16 22:24:45,WISE Up Wales
Thanks for the SNP list Emmy! Just about to use it for the above and for this: http://wp.me/p54cDs-oZ,2015-05-17 01:30:53,WISE Up Wales
…if I can work out how to use it. Can I send one message that will go to all on the list? Or do I have to tweet one by one?,2015-05-17 01:32:40,WISE Up Wales
"Oh, they’re for reading tweets only? I’ll have to send messages one by one then I guess. That’s not nearly so attractive! :o(",2015-05-17 01:47:45,WISE Up Wales
"I presume it must have done checks to run it as front page. I haven’t read Herald article, only editorial. Full info https://indymedia.org.uk/en/2015/05/520573.html",2015-05-17 03:11:14,WISE Up Wales
He says he intends to hand himself in to police.,2015-05-17 03:12:26,WISE Up Wales
Now published online: http://www.heraldscotland.com/news/home-news/trident-whistleblower-says-nuclear-submarimes-are-insecure-unsafe-and-a-disaster-wait.1431860917http://www.robedwards.com/2015/05/trident-is-a-disaster-waiting-to-happen-says-nuclear-whistleblower.html,2015-05-17 05:00:16,WISE Up Wales
Hey WL & all – this is getting a bit personal. Hope no one’s saying Emmy’s lovely face is creepy! :o) FWIW I thought the eye icon was fine.,2015-05-20 11:44:01,WISE Up Wales
I’m working on a rush McNeilly/Trident flyer for tomorrow & Mon. Will share a generic version later in case anyone else can use.,2015-05-22 02:07:10,WISE Up Wales
"Hey, thanks, but I’ve done what I need for tomorrow now., if I can get it to save as a pdf on old laptop where my very old dtp prog is…",2015-05-22 02:37:29,WISE Up Wales
…but I’m sure there’s a need for solidarity flyers people can print.,2015-05-22 02:37:55,WISE Up Wales
"…properly designed, like! Did I imagine that you’re based in uk at present?",2015-05-22 02:38:54,WISE Up Wales
"Yeah, sure it will be excellent.",2015-05-22 07:17:18,WISE Up Wales
I’ve just posted this as a page on wise up. At present it’s not linked to a post… William McNeilly,2015-05-22 07:18:14,WISE Up Wales
"It’s got my hasty d-i-y flyer, which is also here: https://wiseupforbradleymanning.files.wordpress.com/2015/05/flyer-may-2015-general.pdf",2015-05-22 07:19:44,WISE Up Wales
Use of ‘neither confirm nor deny’ is v suspect. eg in spycops case https://www.indymedia.org.uk/en/2014/07/517150.html,2015-06-05 14:40:59,WISE Up Wales
"… in court the evidence that undercover cop was an undercover cop, while still refusing to confirm that he was one.",2015-06-05 14:42:50,WISE Up Wales
More: http://campaignopposingpolicesurveillance.com/2015/03/26/police-concede-marco-jacobs-was-spycop/,2015-06-05 14:45:38,WISE Up Wales
I suppose we only have to look to Ireland to see just how low Brits will stoop to hinder independence. https://www.youtube.com/watch?v=hYF5_z3zmPw&feature=youtu.be,2015-06-11 14:51:23,WISE Up Wales
This from Craig Murray on the ST Snowden story: https://www.craigmurray.org.uk/archives/2015/06/five-reasons-the-mi6-story-is-a-lie/,2015-06-14 03:02:22,WISE Up Wales
"Emmy – re Tom Coburg, he’s just a guy with a blog afaics. He did flaky post abt McNeilly info a while back, I commented & he removed it.",2015-06-19 06:01:55,WISE Up Wales
Communicated with me about it – no issues – thanked me for alerting him.,2015-06-19 06:03:00,WISE Up Wales
First tweet against me since armed forces day tweets yesterday. I expect more. 77th Brigade? https://twitter.com/RoughJustice4,2015-06-21 04:36:22,WISE Up Wales
hi jenny. that sounds bad. they decided what’s wrong yet?,2015-07-02 00:45:30,WISE Up Wales
Any update on situation with police build-up around the embassy since the WL tweet?,2017-01-20 12:37:00,WISE Up Wales
